CNPJ_CIA;DENOM_CIA;DT_REFER;CD_CVM;ID_DOC;VERSAO;stock.type;stock.class;qtd.issued
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2015-01-01;21857;56831;4;ON;0;73421370
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2015-01-01;21857;56831;4;PN;0;0
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2016-01-01;21857;64256;5;ON;0;101483834
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2016-01-01;21857;64256;5;PN;0;0
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2017-01-01;21857;66283;1;ON;0;95675071
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2017-01-01;21857;66283;1;PN;0;0
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2018-01-01;21857;82050;7;ON;0;95675071
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2018-01-01;21857;82050;7;PN;0;0
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2019-01-01;21857;90224;4;ON;0;95675071
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;2019-01-01;21857;90224;4;PN;0;0
10.826.798/0001-89;BRAZAL BRASIL ALIMENTOS SA;2010-01-01;21865;3456;2;ON;0;2000800
10.826.798/0001-89;BRAZAL BRASIL ALIMENTOS SA;2010-01-01;21865;3456;2;PN;0;0
10.826.798/0001-89;BRAZAL BRASIL ALIMENTOS SA;2011-01-01;21865;10271;2;ON;0;2000800
10.826.798/0001-89;BRAZAL BRASIL ALIMENTOS SA;2011-01-01;21865;10271;2;PN;0;0
10.826.798/0001-89;BRAZAL BRASIL ALIMENTOS SA;2012-01-01;21865;22846;3;ON;0;126140800
10.826.798/0001-89;BRAZAL BRASIL ALIMENTOS SA;2012-01-01;21865;22846;3;PN;0;0
10.826.798/0001-89;BRAZAL BRASIL ALIMENTOS SA;2013-01-01;21865;33661;5;ON;0;800
10.826.798/0001-89;BRAZAL BRASIL ALIMENTOS SA;2013-01-01;21865;33661;5;PN;0;0
10.661.519/0001-74;FRAME SECURITIZADORA S/A;2010-01-01;21873;1992;1;ON;0;100
10.661.519/0001-74;FRAME SECURITIZADORA S/A;2010-01-01;21873;1992;1;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2010-01-01;21881;6513;4;ON;0;0
60.840.055/0001-31;FLEURY S.A.;2010-01-01;21881;6513;4;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2011-01-01;21881;16212;12;ON;0;156293356
60.840.055/0001-31;FLEURY S.A.;2011-01-01;21881;16212;12;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2012-01-01;21881;26118;8;ON;0;156293356
60.840.055/0001-31;FLEURY S.A.;2012-01-01;21881;26118;8;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2013-01-01;21881;31942;11;ON;0;156293356
60.840.055/0001-31;FLEURY S.A.;2013-01-01;21881;31942;11;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2014-01-01;21881;46655;10;ON;0;156293356
60.840.055/0001-31;FLEURY S.A.;2014-01-01;21881;46655;10;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2015-01-01;21881;55117;9;ON;0;156293356
60.840.055/0001-31;FLEURY S.A.;2015-01-01;21881;55117;9;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2016-01-01;21881;65107;10;ON;0;157395769
60.840.055/0001-31;FLEURY S.A.;2016-01-01;21881;65107;10;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2017-01-01;21881;74296;14;ON;0;315312192
60.840.055/0001-31;FLEURY S.A.;2017-01-01;21881;74296;14;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2018-01-01;21881;83008;15;ON;0;315654796
60.840.055/0001-31;FLEURY S.A.;2018-01-01;21881;83008;15;PN;0;0
60.840.055/0001-31;FLEURY S.A.;2019-01-01;21881;92321;11;ON;0;315654796
60.840.055/0001-31;FLEURY S.A.;2019-01-01;21881;92321;11;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2010-01-01;21903;6972;2;ON;0;438464847
08.873.873/0001-10;ECORODOVIAS CONCESS;2010-01-01;21903;6972;2;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2011-01-01;21903;18350;6;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2011-01-01;21903;18350;6;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2012-01-01;21903;26660;17;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2012-01-01;21903;26660;17;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2013-01-01;21903;37449;17;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2013-01-01;21903;37449;17;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2014-01-01;21903;46498;8;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2014-01-01;21903;46498;8;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2015-01-01;21903;56530;10;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2015-01-01;21903;56530;10;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2016-01-01;21903;65854;4;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2016-01-01;21903;65854;4;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2017-01-01;21903;73522;9;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2017-01-01;21903;73522;9;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2018-01-01;21903;82427;6;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2018-01-01;21903;82427;6;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2019-01-01;21903;93084;12;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2019-01-01;21903;93084;12;PN;0;0
08.873.873/0001-10;ECORODOVIAS CONCESS;2020-01-01;21903;93962;2;ON;0;696714537
08.873.873/0001-10;ECORODOVIAS CONCESS;2020-01-01;21903;93962;2;PN;0;0
10.608.405/0001-60;BARI SECURITIZADORA S.A.;2015-01-01;21920;52378;14;ON;0;1.35e+09
10.608.405/0001-60;BARI SECURITIZADORA S.A.;2015-01-01;21920;52378;14;PN;0;0
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2010-01-01;21920;1701;1;ON;0;78004
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2010-01-01;21920;1701;1;PN;0;0
