"","CNPJ_CIA","DT_REFER","ID_DOC","VERSAO","stock.type","qtd.issue"
"325","15.139.629/0001-94",2021-01-01,104714,2,"ON",152284658.385093
"326","15.141.799/0001-03",2021-01-01,105534,1,"ON",29440015.6667944
"327","15.144.017/0001-90",2021-01-01,105708,2,"ON",3840000.93264007
"328","15.229.110/0001-05",2021-01-01,105008,1,"ON",0
"329","15.377.572/0001-61",2021-01-01,105239,1,"ON",0
"330","15.413.826/0001-50",2021-01-01,106002,2,"ON",601428.571428571
"331","15.484.093/0001-44",2021-01-01,105949,3,"ON",0
"332","15.494.541/0001-90",2021-01-01,105579,1,"ON",4200
"333","15.527.906/0001-36",2021-01-01,97977,1,"ON",1020429460.81075
"334","15.527.906/0001-36",2021-03-31,103633,5,"ON",1020429460.81075
"335","15.578.569/0001-06",2021-01-01,106030,4,"ON",3033541675
"336","15.688.041/0001-90",2021-01-01,105259,1,"ON",180000
"337","16.233.389/0001-55",2021-01-01,105584,1,"ON",0
"338","16.234.171/0001-15",2021-01-01,105765,2,"ON",294304933.774834
"339","16.404.287/0001-55",2021-01-01,105059,1,"ON",1361263584.17958
"340","16.590.234/0001-76",2021-01-01,105253,1,"ON",99631413.5482114
"341","16.614.075/0001-00",2021-01-01,105927,2,"ON",150000000.994905
"342","16.670.085/0001-55",2021-01-01,103603,4,"ON",758466665.929412
"343","16.676.520/0001-59",2021-01-01,104745,4,"ON",355055845.749343
"344","16.811.931/0001-00",2021-01-01,105910,2,"ON",22415713.9382145
"345","16.922.038/0001-51",2021-01-01,105300,1,"ON",199447999.383453
"346","17.155.730/0001-64",2021-01-01,106032,3,"ON",566013320.416072
"347","17.161.241/0001-15",2021-01-01,103287,1,"ON",22419.5804195804
"348","17.162.082/0001-73",2021-01-01,104557,1,"ON",10309404.6410696
"349","17.167.396/0001-69",2021-01-01,105233,1,"ON",46011635.2881968
"350","17.167.412/0001-13",2021-01-01,106039,3,"ON",58736271.1768188
"351","17.184.037/0001-10",2021-01-01,105844,2,"ON",32575671.3307532
"352","17.193.806/0001-46",2021-01-01,105232,1,"ON",40394930.811085
"353","17.234.244/0001-31",2021-01-01,104990,1,"ON",550871212
"354","17.245.234/0001-00",2021-01-01,104910,1,"ON",5707219.76808393
"355","17.281.106/0001-03",2021-01-01,105978,4,"ON",380253072.435671
"356","17.314.329/0001-20",2021-01-01,105862,2,"ON",286369529.877129
"357","17.344.597/0001-94",2021-01-01,106036,2,"ON",2000028861.55862
"358","18.174.270/0001-84",2021-01-01,105879,7,"ON",130893273.821075
"359","18.328.118/0001-09",2021-01-01,105525,1,"ON",393992474.118347
"360","18.483.666/0001-03",2021-01-01,105972,3,"ON",0
"361","18.494.485/0001-82",2021-01-01,105102,1,"ON",0
"362","18.572.225/0001-88",2021-01-01,105428,1,"ON",3.8e+08
"363","18.593.815/0001-97",2021-01-01,105839,3,"ON",38730101.6776818
"364","19.208.022/0001-70",2021-01-01,105951,2,"ON",0
"365","19.276.528/0001-16",2021-01-01,105453,1,"ON",0
"366","19.296.342/0001-29",2021-01-01,105980,2,"ON",0
"367","19.378.769/0001-76",2021-01-01,105143,1,"ON",130978697.293896
"368","19.403.252/0001-90",2021-01-01,104690,2,"ON",0
"369","19.521.322/0001-04",2021-01-01,105543,1,"ON",0
"370","19.526.748/0001-50",2021-01-01,104905,1,"ON",144198.206275092
"371","19.527.586/0001-75",2021-01-01,105339,1,"ON",0
"372","19.527.639/0001-58",2021-01-01,105995,2,"ON",0
"373","19.642.306/0001-70",2021-01-01,105305,1,"ON",0
"374","19.726.048/0001-00",2021-01-01,105506,1,"ON",0
"375","19.851.496/0001-35",2021-01-01,104807,1,"ON",0
"376","19.853.511/0001-84",2021-01-01,105225,1,"ON",615241537.390509
"377","20.247.322/0001-47",2021-01-01,105849,5,"ON",90981569.3084938
"378","20.258.278/0001-70",2021-01-01,102931,1,"ON",53952946.6941203
"379","20.451.953/0001-83",2021-01-01,103743,1,"ON",501000
"380","20.646.442/0001-17",2021-01-01,104688,1,"ON",0
"381","21.240.146/0001-84",2021-01-01,105426,1,"ON",0
"382","21.255.567/0001-89",2021-01-01,104767,1,"ON",38060197.5850713
"383","21.262.638/0001-70",2021-01-01,104858,1,"ON",0
"384","21.314.559/0001-66",2021-01-01,106004,2,"ON",299194056.053812
"385","21.389.501/0001-81",2021-01-01,105400,1,"ON",0
"386","21.414.457/0001-12",2021-01-01,105214,1,"ON",0
"387","21.610.416/0001-00",2021-01-01,105037,1,"ON",0
"388","21.948.105/0001-47",2021-01-01,105489,1,"ON",0
"389","21.976.484/0001-89",2021-01-01,104862,1,"ON",0
"390","21.976.510/0001-79",2021-01-01,105492,1,"ON",0
"391","22.163.297/0001-49",2021-01-01,105950,2,"ON",0
"392","22.266.175/0001-88",2021-01-01,105201,1,"ON",53857282.6444786
"393","22.495.265/0001-40",2021-01-01,105159,1,"ON",0
